,ParkCode,Month,Visitors,StateCode,Full Name,Lat,Lon
383,mava,11,586,NY,Martin Van Buren National Historic Site,42.36819596,-73.70834257
384,sahi,0,135,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
385,sahi,1,1952,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
386,sahi,2,1987,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
387,sahi,3,3071,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
388,sahi,4,4363,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
389,sahi,5,3551,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
390,sahi,6,5429,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
391,sahi,7,4436,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
392,sahi,8,4325,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
393,sahi,9,4101,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
394,sahi,10,1967,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
395,sahi,11,1421,NY,Sagamore Hill National Historic Site,40.88579128,-73.49686438
396,sapa,0,160,NY,Saint Paul's Church National Historic Site,40.89283511,-73.82577276
